bias_z,frequency_ghz,mean_centered_abs_response
# Source: Zhang et al., Phys. Rev. Applied 24, 034003 (2025), Fig. 2 data.
# Dataset: https://doi.org/10.5281/zenodo.16791932 (CC BY 4.0).
# Modified: file-wise mean subtraction, absolute value, and restriction to the two comparison windows.
0.58,4.645000,0.835551523821
0.58,4.640000,19.3753387399
0.58,4.635000,86.0859805888
0.58,4.630000,9.34891492072
0.58,4.625000,26.0377467638
0.58,4.620000,4.83064536582
0.58,4.615000,4.55312431942
0.58,4.610000,10.7027061774
0.58,4.605000,3.36105000922
0.58,4.600000,2.91769518522
0.58,4.595000,5.96653543362
0.58,4.590000,5.81307305552
0.58,4.585000,7.38751071672
0.58,4.580000,5.87997116652
0.58,4.575000,10.2059380722
0.58,4.570000,18.1922705658
0.58,4.565000,30.9786129018
0.58,4.560000,29.2696381018
0.58,4.555000,42.6181976148
0.58,4.550000,15.0637663101
0.58,4.545000,2.93745564002
0.58,4.540000,2.83206897852
0.58,4.535000,2.12339448078
0.58,4.530000,14.8203009194
0.58,4.525000,2.92951041628
0.58,4.520000,0.776834031179
0.58,4.515000,2.10164599608
0.58,4.510000,2.37503159278
0.58,4.505000,2.37914121888
0.58,4.500000,0.410660736321
0.58,4.495000,4.06341875548
0.58,4.490000,0.674872217121
0.58,4.485000,3.54403010008
0.58,4.480000,5.46810714918
0.58,4.475000,3.84400705538
0.58,4.470000,2.55365314698
0.58,4.465000,1.63730109338
0.58,4.460000,3.56693495518
0.58,4.455000,2.31693937978
0.58,4.450000,5.38120407578
0.58,4.445000,3.36871941408
0.58,4.440000,2.66100547438
0.58,4.435000,4.95844151988
0.58,4.430000,1.74164134688
0.58,4.425000,1.20600520978
0.58,4.420000,5.20421484928
0.58,4.415000,2.99334389188
0.58,4.410000,0.618555462179
0.58,4.405000,1.61861406758
0.58,4.400000,0.872051405921
0.58,4.395000,0.999447826179
0.58,4.390000,2.96372697668
0.58,4.385000,2.12292472538
0.58,4.380000,1.79382300268
0.58,4.375000,0.462040154479
0.58,4.370000,1.91127962588
0.58,4.365000,3.70531950598
0.58,4.360000,2.01586159098
0.58,4.355000,1.67625626752
0.58,4.350000,4.74344711028
0.58,4.345000,1.36815600708
0.58,4.340000,1.00650256562
0.58,4.335000,7.71363564728
0.58,4.330000,6.10288968378
0.58,4.325000,2.47182994738
0.58,4.320000,2.64785094988
0.58,4.315000,0.620741421179
0.58,4.310000,5.58122954848
0.58,4.305000,2.23117325098
0.59,4.945000,10.3682590471
0.59,4.940000,5.76557256218
0.59,4.935000,5.89347196358
0.59,4.930000,7.44454834958
0.59,4.925000,14.5264107896
0.59,4.920000,9.42430634188
0.59,4.915000,4.99428903958
0.59,4.910000,10.5089818384
0.59,4.905000,5.42634006688
0.59,4.900000,12.1993293129
0.59,4.895000,9.52589772078
0.59,4.890000,9.26317177608
0.59,4.885000,5.53572348888
0.59,4.880000,7.73977979578
0.59,4.875000,7.00046924298
0.59,4.870000,13.5098885981
0.59,4.865000,12.6763302633
0.59,4.860000,12.8954901793
0.59,4.855000,13.2756824768
0.59,4.850000,17.1263733918
0.59,4.845000,17.465181711
0.59,4.840000,15.5641241536
0.59,4.835000,17.1818686561
0.59,4.830000,18.3261748805
0.59,4.825000,22.3318842452
0.59,4.820000,26.5166035572
0.59,4.815000,27.9723802108
0.59,4.810000,33.5692427228
0.59,4.805000,36.5895303058
0.59,4.800000,53.7425307108
0.59,4.800000,4.79608111768
0.59,4.795000,4.10517381098
0.59,4.790000,3.16553948928
0.59,4.785000,0.283461815322
0.59,4.780000,4.29368614982
0.59,4.780000,3.69292115684
0.59,4.775000,8.03040956234
0.59,4.770000,6.31707088724
0.59,4.765000,4.87723967114
0.59,4.760000,4.92456483654
0.59,4.755000,3.98272803784
0.59,4.750000,3.91035444464
0.59,4.745000,2.70573275424
0.59,4.740000,1.88168069684
0.59,4.735000,1.87749076426
0.59,4.730000,1.68748975896
0.59,4.725000,6.76873991496
0.59,4.720000,12.6006967646
0.59,4.715000,57.1423108893
0.59,4.710000,25.9107634053
0.59,4.710000,85.3746205692
0.59,4.705000,10.2168128978
0.59,4.700000,8.77337134363
0.59,4.695000,4.29579182893
0.59,4.690000,5.36913382423
0.59,4.685000,10.3329649769
0.59,4.680000,9.69532519143
0.59,4.675000,7.03665326903
0.59,4.670000,6.41363494393
0.59,4.665000,9.26099428213
0.59,4.660000,7.50098363723
0.59,4.655000,7.40385551263
0.59,4.655000,0.954304026879
0.59,4.650000,3.79256648548
0.59,4.645000,1.52889104902
0.59,4.640000,16.03983285
0.59,4.635000,78.0435763598
0.59,4.630000,8.00834438792
0.59,4.625000,15.318402437
0.59,4.620000,5.13976009012
0.59,4.615000,8.26046204702
0.59,4.610000,6.70473742272
0.59,4.605000,0.853330381279
0.59,4.600000,0.0185870276786
0.59,4.595000,4.29203002452
0.59,4.590000,3.34762158502
0.59,4.585000,5.60813400772
0.59,4.580000,2.02392238432
0.59,4.575000,2.98515745962
0.59,4.570000,2.80035419842
0.59,4.565000,9.99924114592
0.59,4.560000,8.39289366182
0.59,4.555000,11.0699885415
0.59,4.550000,15.9672145685
0.59,4.545000,35.9942922838
0.59,4.540000,58.2605931878
0.59,4.535000,44.6219700988
